t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1654,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1655,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1656,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1657,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1658,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1659,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1660,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1661,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1662,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1663,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1664,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1665,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1666,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1667,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1668,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1669,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1670,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1671,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1672,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1673,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1674,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1675,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1676,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1677,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1678,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1679,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1680,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1681,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1682,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1683,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1684,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1685,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1686,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1687,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1688,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1689,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1690,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1691,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1692,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1693,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1694,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1695,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1696,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1697,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1698,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1699,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1700,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1701,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
