organ,age,Tsoil,Ksoil,SRWC,t,Tr,soil_water_potential,proteins,sucrose,green_area,xylem_water_potential,plant,axis,amino_acids,mstruct,total_water_potential
roots,NA,NA,NA,NA,75,NA,NA,NA,132.00640650,NA,NA,1,MS,1.36972963,0.04109309,NA
xylem,NA,NA,NA,NA,75,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03743802
phloem,NA,NA,NA,NA,76,NA,NA,NA,344.30807230,NA,NA,1,MS,7.75869530,NA,NA
roots,NA,NA,NA,NA,76,NA,NA,NA,138.53223929,NA,NA,1,MS,1.46492240,0.04119489,NA
xylem,NA,NA,NA,NA,76,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03686831
phloem,NA,NA,NA,NA,77,NA,NA,NA,344.34955207,NA,NA,1,MS,7.65115389,NA,NA
roots,NA,NA,NA,NA,77,NA,NA,NA,144.55863807,NA,NA,1,MS,1.65039349,0.04129847,NA
xylem,NA,NA,NA,NA,77,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03608049
phloem,NA,NA,NA,NA,78,NA,NA,NA,339.00248265,NA,NA,1,MS,7.45564201,NA,NA
roots,NA,NA,NA,NA,78,NA,NA,NA,149.34983984,NA,NA,1,MS,1.84694342,0.04140357,NA
xylem,NA,NA,NA,NA,78,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03488284
phloem,NA,NA,NA,NA,79,NA,NA,NA,330.58577532,NA,NA,1,MS,7.19276099,NA,NA
roots,NA,NA,NA,NA,79,NA,NA,NA,152.63018234,NA,NA,1,MS,2.03373550,0.04150985,NA
