Tillers_Photosynthesis,N_content_shoot,shoot_roots_ratio,sum_N_g,senesced_mstruct,plant,N_content_mstruct,axis,dry_mass_phloem,mstruct_laminae,sum_dry_mass_shoot,N_content_roots,sum_respi_shoot,Tillers_Photosynthesis_An,Total_Photosynthesis,t,mstruct_stem,N_content_mstruct_roots,C_N_ratio_shoot,mstruct_shoot,C_respired_shoot,sum_C_g,shoot_roots_mstruct_ratio,N_content_mstruct_shoot,Cont_WSC_DM_stem,mstruct,sum_NSC_g,sum_respi_roots,sum_dry_mass,Cont_WSC_DM_roots,NNI,C_exudated,sum_dry_mass_roots,NS_stem,sum_dry_mass_laminae,NS_laminae,sum_N_g_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM,N_content_total_DM_shoot,sum_dry_mass_stem,Total_Transpiration,NS_shoot,NS,N_content,NS_roots,C_respired_roots,C_N_ratio,Cont_WSC_DM_laminae
12.21110458,4.07960225,0.81831533,0.00202076,0.00000000,1,3.51466558,MS,0.00523642,0.01416656,0.03535943,1.33820833,0.78192489,12.13429819,12.21110458,20.00000000,0.00713160,1.59747886,10.31597055,0.02129816,1.31151396,0.03314219,0.58839489,6.77299900,14.856137967035444,0.05749521,0.00784430,0.23987420,0.07856946,11.706817630435207,0.92718233,0.49834010,0.04321003,37.02756959,0.02403448,41.05733599,0.00144252,11.777752879385849,11.73874135720108,4.07960225,0.01132495,0.00044803,39.76667861,26.82244590,2.57194631,16.22998180,1.14986297,16.40081813,10.327229960461583
24.70390738,4.04578997,0.82538810,0.00202340,0.00000000,1,3.51213716,MS,0.00548052,0.01419471,0.03579642,1.32618629,1.01297015,24.68488027,24.70390738,21.00000000,0.00714749,1.58578248,10.40140064,0.02134221,1.53881912,0.03339863,0.58843298,6.78583993,15.247526427222219,0.05761177,0.00804945,0.23792727,0.07916562,11.902487974954237,0.91949772,0.61240384,0.04336920,37.34866532,0.02438805,41.79645161,0.00144825,12.617806981274601,12.225934696711612,4.04578997,0.01140837,0.00085512,40.37893600,27.22627596,2.55591301,16.37022683,1.13225380,16.50615566,11.387663294079585
30.88778939,4.01031094,0.83142697,0.00202599,0.00000000,1,3.50957498,MS,0.00587807,0.01422311,0.03628291,1.30830298,1.18190097,30.87711014,30.88778939,22.00000000,0.00716339,1.57104538,10.49240872,0.02138650,1.71068855,0.03372480,0.58849413,6.80362586,15.85780980516538,0.05772756,0.00832468,0.23691879,0.07992223,12.331037870537285,0.91143431,0.82276868,0.04363932,37.84823639,0.02475726,42.54975608,0.00145506,13.53287358338495,12.876644460826547,4.01031094,0.01152565,0.00113187,41.05626875,27.77033388,2.53495429,16.72404932,1.11873521,16.64607016,12.4505083198319
33.22720462,3.97740076,0.83559890,0.00202855,0.00000000,1,3.50690102,MS,0.00634189,0.01425326,0.03675097,1.28876871,1.26535771,33.21840636,33.22720462,23.00000000,0.00717930,1.55668379,10.57829801,0.02143256,1.81523670,0.03407449,0.58861117,6.82015317,16.57887759546538,0.05784465,0.00862285,0.23737259,0.08073257,12.892530465407237,0.90395472,1.10189333,0.04398160,38.43158731,0.02509029,43.19211364,0.00146173,14.378880792968642,13.569144892177022,3.97740076,0.01166068,0.00125869,41.68165052,28.35029522,2.51268423,17.21062941,1.11337108,16.79742589,13.356434824591497
37.02279575,3.94395510,0.83915800,0.00203113,0.00000000,1,3.50418992,MS,0.00685567,0.01428442,0.03724713,1.26643540,1.40319966,37.01320364,37.02279575,24.00000000,0.00719521,1.54076719,10.66697046,0.02147963,1.96515648,0.03446395,0.58875108,6.83908438,17.377175821374355,0.05796302,0.00896022,0.23978126,0.08163345,13.56853276844299,0.89635343,1.42458702,0.04438632,39.08194367,0.02543584,43.84135667,0.00146901,15.253013872138402,14.337115886946567,3.94395510,0.01181129,0.00149681,42.33211813,28.99599622,2.48811514,17.80488287,1.11915264,16.96783415,14.266646179195149
41.26082240,3.91000420,0.84228136,0.00203379,0.00000000,1,3.50152061,MS,0.00741746,0.01431606,0.03777995,1.24088295,1.57689883,41.24790066,41.26082240,25.00000000,0.00721113,1.52257570,10.75838420,0.02152719,2.14457752,0.03489755,0.58888584,6.86201050,18.234675439818563,0.05808297,0.00934104,0.24426840,0.08263427,14.355150207592212,0.88863732,1.78255968,0.04485431,39.78714343,0.02580389,44.51977477,0.00147720,16.16648991647925,15.183285206061539,3.91000420,0.01197606,0.00181300,43.01955380,29.71079045,2.46119116,18.50106719,1.13720379,17.15889655,15.20660706544938
36.32460111,3.88415973,0.84210812,0.00203655,0.00000000,1,3.49880903,MS,0.00789511,0.01434975,0.03816954,1.22221279,1.39992362,36.31409068,36.32460111,26.00000000,0.00722705,1.51236923,10.82944890,0.02157680,1.99226208,0.03526934,0.58904572,6.87111055,18.982433347620148,0.05820690,0.00965831,0.25031466,0.08349572,15.09558864119144,0.88276358,2.12289794,0.04532618,40.38669380,0.02604632,44.90680695,0.00148257,16.792797147973445,15.871456817468784,3.88415973,0.01212322,0.00146761,43.47115066,30.28756216,2.43910507,19.18555520,1.16682224,17.31819569,15.773633924343741
32.60074965,3.86387122,0.84061391,0.00203944,0.00000000,1,3.49610305,MS,0.00827185,0.01438477,0.03847738,1.20753485,1.28696039,32.59019493,32.60074965,27.00000000,0.00724300,1.50577711,10.88609481,0.02162777,1.89539386,0.03559409,0.58920150,6.87410863,19.580782769115295,0.05833468,0.00992683,0.25793978,0.08425033,15.757200265671448,0.87815255,2.38033534,0.04577295,40.86093516,0.02622998,45.15904232,0.00148672,17.251034601042193,16.439438899811833,3.86387122,0.01224740,0.00124566,43.79094908,30.76028860,2.42069166,19.80653417,1.20533133,17.45286916,16.16321972293612
26.39746293,3.85188804,0.83760882,0.00204248,0.00000000,1,3.49337443,MS,0.00851839,0.01442186,0.03866796,1.19795960,1.13139515,26.37945949,26.39746293,28.00000000,0.00725896,1.50336387,10.92010957,0.02168081,1.76463959,0.03584376,0.58936925,6.86988341,19.98644913731739,0.05846728,0.01011815,0.26625769,0.08483266,16.287601800258194,0.87542910,2.52517612,0.04616470,41.17277776,0.02632851,45.22342277,0.00148945,17.474474659855325,16.82859570859873,3.85188804,0.01233945,0.00093981,43.93080916,31.07928096,2.40765877,20.31472754,1.24741743,17.54912664,16.297181170536856
12.87067747,3.85850392,0.83165182,0.00204566,0.00000000,1,3.49072316,MS,0.00854122,0.01445907,0.03861381,1.19693819,0.89520444,12.79973275,12.87067747,29.00000000,0.00727493,1.50735423,10.90209322,0.02173399,1.53009442,0.03593372,0.58949758,6.85523049,20.06809243141476,0.05860267,0.01014855,0.27382499,0.08504407,16.556205996367638,0.87693271,2.50651632,0.04643026,41.22224861,0.02623680,44.89013258,0.00148992,17.217119331000124,16.85629019972441,3.85850392,0.01237701,0.00047134,43.71445395,31.09141229,2.40540803,20.59343673,1.28771421,17.56586010,15.872194783473152
5.14341654,3.87348850,0.82570484,0.00204896,0.00000000,1,3.48833217,MS,0.00840997,0.01449351,0.03846397,1.20014325,0.79263239,4.86659985,5.14341654,30.00000000,0.00729091,1.51290146,10.86071914,0.02178443,1.39468424,0.03593438,0.58951437,6.83927797,19.888062567304505,0.05873760,0.01008984,0.28052953,0.08504716,16.613640227794317,0.88033829,2.32468737,0.04658319,41.07444636,0.02609088,44.44988390,0.00148990,16.768726275682948,16.683780426575154,3.87348850,0.01237309,0.00027181,43.36407276,30.93526670,2.40920731,20.67274137,1.32265278,17.53784340,15.289441224806112
0.00000000,3.89313167,0.82041024,0.00205239,0.00000000,1,3.48611747,MS,0.00818501,0.01452684,0.03827097,1.20571559,0.67300527,0.00000000,0.00000000,31.00000000,0.00730691,1.51851452,10.80588823,0.02183375,1.26189043,0.03587784,0.58947321,6.82401804,19.53976871119521,0.05887319,0.00997363,0.28592558,0.08491955,16.514222066487854,0.88480265,2.05740479,0.04664858,40.79320563,0.02592963,43.97590146,0.00148994,16.230508160407144,16.386359792291824,3.89313167,0.01234134,0.00015495,42.94956944,30.67180873,2.41686219,20.59900816,1.34983194,17.48101624,14.655449226719142
0.00000000,3.90569803,0.81737027,0.00205596,0.00000000,1,3.48405913,MS,0.00798117,0.01456053,0.03814470,1.21313278,0.45269374,0.00000000,0.00000000,32.00000000,0.00732291,1.52487598,10.77134961,0.02188344,1.04586097,0.03582976,0.58942210,6.80796424,19.2041093020745,0.05901038,0.00986519,0.28919988,0.08481229,16.326507987643282,0.88765864,1.54801178,0.04666759,40.46949793,0.02584359,43.65903574,0.00148982,15.834604699339916,16.105272320688506,3.90569803,0.01230111,0.00010589,42.63045610,30.42236782,2.42412584,20.44383939,1.36847665,17.42729429,14.230777344274163
0.00000000,3.91707979,0.81505964,0.00205956,0.00000000,1,3.48208070,MS,0.00778390,0.01459336,0.03803929,1.22031003,0.44865381,0.00000000,0.00000000,33.00000000,0.00733892,1.53036709,10.74018665,0.02193229,1.03179690,0.03578369,0.58934054,6.79377143,18.873752901879744,0.05914725,0.00975890,0.29078100,0.08470986,16.113921948627723,0.89024541,1.38748355,0.04667057,40.15272881,0.02577654,43.38509338,0.00149003,15.47809925913376,15.82840327881522,3.91707979,0.01226275,0.00010600,42.34307370,30.17665977,2.43130505,20.26030674,1.37639764,17.37447442,13.86267425178066
