LAI_turgor,mstruct,Total_Transpiration_turgor,xylem_water_potential,Tr,plant_WC_DM,total_water_influx,plant,plant_water_content,delta_plant_water_content,Growth,axis,t,green_area
0.00000000,0.07296086,0.13719654,-0.03776236,NA,90.55895961,0.13720299,1,0.52450669,0.00017663,0.00017019,MS,121,0.00134452
0.00000000,0.07314247,0.11092655,-0.03862520,NA,90.56751596,0.11094330,1,0.52503208,0.00019012,0.00017337,MS,122,0.00134620
0.00000000,0.07332598,0.09412430,-0.03767996,NA,90.57358734,0.09413973,1,0.52540547,0.00019237,0.00017695,MS,123,0.00134815
0.00000000,0.07351168,0.07086768,-0.03707516,NA,90.57939626,0.07088378,1,0.52576316,0.00019556,0.00017947,MS,124,0.00135002
0.00000000,0.07369934,0.03539346,-0.03623804,NA,90.58510486,0.03540449,1,0.52611510,0.00019204,0.00018100,MS,125,0.00135189
0.00000000,0.07388495,0.02034653,-0.03496084,NA,90.58682230,0.02035397,1,0.52622107,0.00018877,0.00018133,MS,126,0.00135377
0.00000000,0.07407119,0.01163676,-0.03441903,NA,90.58742021,0.01164759,1,0.52625797,0.00019105,0.00018023,MS,127,0.00135539
0.00000000,0.07425779,0.00795417,-0.03410556,NA,90.58725955,0.00795357,1,0.52624806,0.00017702,0.00017761,MS,128,0.00135695
0.00000000,0.07444512,0.00796543,-0.03397249,NA,90.58802619,0.00798331,1,0.52629537,0.00019444,0.00017656,MS,129,0.00135848
0.00000000,0.07463228,0.00797714,-0.03397352,NA,90.58908371,0.00798877,1,0.52636066,0.00018584,0.00017421,MS,130,0.00136006
0.00000000,0.07481920,0.00798882,-0.03397363,NA,90.59032801,0.00799082,1,0.52643750,0.00017373,0.00017174,MS,131,0.00136164
0.00000000,0.07500581,0.00800045,-0.03397362,NA,90.59169054,0.00799848,1,0.52652165,0.00016766,0.00016963,MS,132,0.00136322
0.00000000,0.07519136,0.00801201,-0.03397382,NA,90.59313377,0.00802883,1,0.52661082,0.00018576,0.00016893,MS,133,0.00136478
0.00000000,0.07537580,0.00802329,-0.03397488,NA,90.59463595,0.00803353,1,0.52670367,0.00017707,0.00016683,MS,134,0.00136631
0.00000000,0.07556060,0.00803486,-0.03397498,NA,90.59619376,0.00804891,1,0.52679998,0.00018018,0.00016613,MS,135,0.00136780
0.00000000,0.07574491,0.00804601,-0.03397550,NA,90.59777265,0.00805858,1,0.52689762,0.00017701,0.00016444,MS,136,0.00136932
0.00000000,0.07592865,0.00805831,-0.03397579,NA,90.59937017,0.00806973,1,0.52699645,0.00017423,0.00016281,MS,137,0.00137082
0.00000000,0.07611174,0.00847037,-0.03397613,NA,90.60094830,0.00848127,1,0.52709412,0.00017216,0.00016125,MS,138,0.00137230
0.00000000,0.07629387,0.02565819,-0.03399089,NA,90.60156062,0.02566679,1,0.52713202,0.00016910,0.00016050,MS,139,0.00137378
0.00000000,0.07647942,0.03489895,-0.03460955,NA,90.60538344,0.03490314,1,0.52736877,0.00016363,0.00015944,MS,140,0.00137520
0.00000000,0.07666130,0.06690101,-0.03494202,NA,90.60698135,0.06690555,1,0.52746779,0.00016371,0.00015916,MS,141,0.00137692
0.00000000,0.07684384,0.08838969,-0.03609409,NA,90.61183876,0.08839202,1,0.52776899,0.00016201,0.00015968,MS,142,0.00137839
0.00000000,0.07702922,0.09815584,-0.03686762,NA,90.61767321,0.09815996,1,0.52813119,0.00016599,0.00016186,MS,143,0.00138000
0.00000000,0.07721966,0.11677383,-0.03721935,NA,90.62214674,0.11678051,1,0.52840921,0.00017147,0.00016479,MS,144,0.00138173
0.00000000,0.07740847,0.14136726,-0.03788979,NA,90.62632894,0.14137654,1,0.52866937,0.00017696,0.00016767,MS,145,0.00138358
0.00000000,0.07760182,0.11437042,-0.03877536,NA,90.63474387,0.11437357,1,0.52919352,0.00017330,0.00017016,MS,146,0.00138530
0.00000000,0.07779762,0.09707693,-0.03780334,NA,90.64068789,0.09708635,1,0.52956434,0.00018374,0.00017431,MS,147,0.00138727
0.00000000,0.07799535,0.07463764,-0.03718115,NA,90.64627634,0.07463902,1,0.52991340,0.00017785,0.00017648,MS,148,0.00138917
0.00000000,0.07819516,0.03722009,-0.03637312,NA,90.65195268,0.03722640,1,0.53026838,0.00018502,0.00017871,MS,149,0.00139107
0.00000000,0.07839341,0.02130528,-0.03502635,NA,90.65362106,0.02131551,1,0.53037279,0.00018997,0.00017973,MS,150,0.00139299
0.00000000,0.07859196,0.01209461,-0.03445359,NA,90.65412689,0.01209231,1,0.53040446,0.00017561,0.00017791,MS,151,0.00139465
0.00000000,0.07878921,0.00826303,-0.03412149,NA,90.65387638,0.00826413,1,0.53038878,0.00017739,0.00017630,MS,152,0.00139625
0.00000000,0.07898720,0.00827228,-0.03398362,NA,90.65456419,0.00827207,1,0.53043184,0.00017424,0.00017446,MS,153,0.00139774
0.00000000,0.07918370,0.00828380,-0.03398384,NA,90.65554366,0.00828914,1,0.53049317,0.00017832,0.00017299,MS,154,0.00139930
0.00000000,0.07938185,0.00829448,-0.03398440,NA,90.65672130,0.00829391,1,0.53056692,0.00017027,0.00017083,MS,155,0.00140081
0.00000000,0.07957892,0.00830531,-0.03398449,NA,90.65801607,0.00831825,1,0.53064804,0.00018315,0.00017021,MS,156,0.00140238
0.00000000,0.07977558,0.00831664,-0.03398535,NA,90.65939553,0.00832819,1,0.53073448,0.00018005,0.00016850,MS,157,0.00140391
0.00000000,0.07997179,0.00832788,-0.03398564,NA,90.66083808,0.00833816,1,0.53082491,0.00017720,0.00016693,MS,158,0.00140542
0.00000000,0.08016749,0.00834029,-0.03398595,NA,90.66232096,0.00834950,1,0.53091789,0.00017463,0.00016543,MS,159,0.00140693
0.00000000,0.08036263,0.00835130,-0.03398630,NA,90.66383477,0.00835957,1,0.53101284,0.00017225,0.00016399,MS,160,0.00140842
0.00000000,0.08055717,0.00836145,-0.03398661,NA,90.66537491,0.00836898,1,0.53110947,0.00017016,0.00016263,MS,161,0.00140989
0.00000000,0.08075125,0.00880492,-0.03398690,NA,90.66691102,0.00881241,1,0.53120589,0.00016956,0.00016207,MS,162,0.00141135
