t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22208793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.44755347,NA,NA,NA,NA
8,1,MS,roots,0.03126798,4.37650826,0.01588096,0.03975747,0.00531915,1.48621995,NA,0.03782279,0.00017634,NA,0.10173408,0.10975211,NA,NA,NA,0.06502275,1.07978767,NA,1.45850798,NA,1.28392494,NA,NA,13.55319195,NA,NA,0.83420258,21.88254131,0.27645367,NA,NA,0.95756240,8.64229090,0.00008755,NA,0.03522836,21.57503415,NA,0.00000000,0.00010238,0.00000000,NA,NA,NA,110.80038222,3.13555330,0.27650894,NA,NA
8,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03403577,NA
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12966483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.04594041,NA,NA,NA,NA
9,1,MS,roots,0.03094095,5.50006541,0.01658642,0.04015327,0.00535261,1.48397382,NA,0.05132769,0.00017677,NA,0.10159849,0.10677208,NA,NA,NA,0.06447870,1.06849427,NA,1.45299093,NA,1.27648764,NA,NA,13.62498574,NA,NA,1.04823507,27.50032703,0.26894731,NA,NA,0.99841523,8.68200283,0.00008663,NA,0.03531500,21.75314044,NA,0.00000000,0.00010255,0.00000000,NA,NA,NA,106.98609077,3.10275886,0.27284927,NA,NA
9,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392591,NA
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01918899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.24027067,NA,NA,NA,NA
10,1,MS,roots,0.03059952,6.35139984,0.01738361,0.04053155,0.00538543,1.48201624,NA,0.06420151,0.00017720,NA,0.10145230,0.10390270,NA,NA,NA,0.06396501,1.05670348,NA,1.44738863,NA,1.26830601,NA,NA,13.70192594,NA,NA,1.20987870,31.75699918,0.26171966,NA,NA,1.04475592,8.72149484,0.00008568,NA,0.03540068,21.92353513,NA,0.00000000,0.00010271,0.00000000,NA,NA,NA,103.35680282,3.06852004,0.26932001,NA,NA
10,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392639,NA
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.89826548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.32146990,NA,NA,NA,NA
11,1,MS,roots,0.03024104,7.05066210,0.01824747,0.04089222,0.00541753,1.48033242,NA,0.07729780,0.00017762,NA,0.10129392,0.10112902,NA,NA,NA,0.06346686,1.04432394,NA,1.44168070,NA,1.25930894,NA,NA,13.78249170,NA,NA,1.34119084,35.25331052,0.25473306,NA,NA,1.09508063,8.76073714,0.00008467,NA,0.03548535,22.08648736,NA,0.00000000,0.00010286,0.00000000,NA,NA,NA,99.88697771,3.03257157,0.26588980,NA,NA
11,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392674,NA
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77032899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.25891418,NA,NA,NA,NA
12,1,MS,roots,0.02986401,7.59788732,0.01916576,0.04124007,0.00544946,1.47890605,NA,0.09037246,0.00017804,NA,0.10112240,0.09844190,NA,NA,NA,0.06297509,1.03130382,NA,1.43585596,NA,1.24943338,NA,NA,13.86580839,NA,NA,1.44285062,37.98943661,0.24796448,NA,NA,1.14853331,8.79969149,0.00008362,NA,0.03556897,22.24228856,NA,0.00000000,0.00010301,0.00000000,NA,NA,NA,96.56068628,2.99476294,0.26253939,NA,NA
12,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392709,NA
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63920080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.22560475,NA,NA,NA,NA
13,1,MS,roots,0.02946761,8.06833931,0.02012085,0.04156850,0.00548030,1.47772384,NA,0.10406683,0.00017845,NA,0.10093697,0.09583459,NA,NA,NA,0.06248434,1.01761487,NA,1.42990609,NA,1.23861680,NA,NA,13.95099096,NA,NA,1.52852447,40.34169654,0.24139694,NA,NA,1.20424827,8.83832318,0.00008251,NA,0.03565148,22.39116005,NA,0.00000000,0.00010314,0.00000000,NA,NA,NA,93.36580836,2.95501214,0.25925590,NA,NA
13,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392742,NA
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.50567980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.11969399,NA,NA,NA,NA
14,1,MS,roots,0.02905127,8.43368307,0.02112591,0.04193312,0.00551729,1.47677484,NA,0.11782172,0.00017886,NA,0.10073641,0.09329863,NA,NA,NA,0.06198856,1.00323735,NA,1.42381629,NA,1.22678018,NA,NA,14.03715666,NA,NA,1.59385717,42.16841533,0.23500913,NA,NA,1.26136269,8.87658595,0.00008134,NA,0.03573282,22.53326893,NA,0.00000000,0.00010339,0.00000000,NA,NA,NA,90.28839050,2.91326183,0.25602359,NA,NA
14,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392755,NA
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37138904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.98592952,NA,NA,NA,NA
15,1,MS,roots,0.02861393,8.71831988,0.02212407,0.04223788,0.00554770,1.47604404,NA,0.13172595,0.00017926,NA,0.10051992,0.09082866,NA,NA,NA,0.06148288,0.98813448,NA,1.41757788,NA,1.21385241,NA,NA,14.12372779,NA,NA,1.64356310,43.59159941,0.22878755,NA,NA,1.31931989,8.91444234,0.00008012,NA,0.03581294,22.66886128,NA,0.00000000,0.00010351,0.00000000,NA,NA,NA,87.31956889,2.86940517,0.25283145,NA,NA
