t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC,PARi
192,355,12,13,179.5555556,10,0.75,400,3,80,649.476191
193,355,13,13,224.4444444,10,0.75,400,3,80,795.968254
194,355,14,13,134.6666667,10,0.75,400,3,80,635.650793
195,355,15,13,112.2222222,10,0.75,400,3,80,529.4444444
196,355,16,13,22.44444444,10,0.75,400,3,80,379.3492063
197,355,17,13,0,10,0.75,400,3,80,148.4920635
198,355,18,13,0,10,0.75,400,3,80,52.9047619
199,355,19,13,0,10,0.75,400,3,80,0
200,355,20,7,0,10,0.75,400,3,80,0
201,355,21,7,0,10,0.75,400,3,80,0
202,355,22,7,0,10,0.75,400,3,80,0
203,355,23,7,0,10,0.75,400,3,80,0
204,355,24,7,0,10,0.75,400,3,80,0
205,356,1,7,0,10,0.75,400,3,80,0
206,356,2,7,0,10,0.75,400,3,80,0
207,356,3,7,0,10,0.75,400,3,80,0
208,356,4,7,0,10,0.75,400,3,80,0
209,356,5,7,0,10,0.75,400,3,80,0
210,356,6,7,0,10,0.75,400,3,80,3.206349206
211,356,7,13,0,10,0.75,400,3,80,81.76190476
212,356,8,13,0,10,0.75,400,3,80,138.2698413
213,356,9,13,11.22222222,10,0.75,400,3,80,338.6666667
214,356,10,13,33.66666667,10,0.75,400,3,80,474.3333333
215,356,11,13,78.55555556,10,0.75,400,3,80,535.650794
216,356,12,13,89.77777778,10,0.75,400,3,80,649.476191
217,356,13,13,89.77777778,10,0.75,400,3,80,795.968254
218,356,14,13,78.55555556,10,0.75,400,3,80,635.650793
219,356,15,13,33.66666667,10,0.75,400,3,80,529.4444444
220,356,16,13,11.22222222,10,0.75,400,3,80,379.3492063
221,356,17,13,0,10,0.75,400,3,80,148.4920635
222,356,18,13,0,10,0.75,400,3,80,52.9047619
223,356,19,13,0,10,0.75,400,3,80,0
224,356,20,7,0,10,0.75,400,3,80,0
225,356,21,7,0,10,0.75,400,3,80,0
226,356,22,7,0,10,0.75,400,3,80,0
227,356,23,7,0,10,0.75,400,3,80,0
228,356,24,7,0,10,0.75,400,3,80,0
229,357,1,7,0,10,0.75,400,3,80,0
230,357,2,7,0,10,0.75,400,3,80,0
231,357,3,7,0,10,0.75,400,3,80,0
232,357,4,7,0,10,0.75,400,3,80,0
233,357,5,7,0,10,0.75,400,3,80,0
234,357,6,7,0,10,0.75,400,3,80,3.206349206
235,357,7,13,0,10,0.75,400,3,80,81.76190476
236,357,8,13,0,10,0.75,400,3,80,138.2698413
237,357,9,13,0,10,0.75,400,3,80,338.6666667
238,357,10,13,33.66666667,10,0.75,400,3,80,474.3333333
239,357,11,13,190.7777778,10,0.75,400,3,80,535.650794
240,357,12,13,235.6666667,10,0.75,400,3,80,649.476191
241,357,13,13,224.4444444,10,0.75,400,3,80,795.968254
242,357,14,13,145.8888889,10,0.75,400,3,80,635.650793
243,357,15,13,89.77777778,10,0.75,400,3,80,529.4444444
244,357,16,13,11.22222222,10,0.75,400,3,80,379.3492063
245,357,17,13,0,10,0.75,400,3,80,148.4920635
246,357,18,13,0,10,0.75,400,3,80,52.9047619
247,357,19,13,0,10,0.75,400,3,80,0
248,357,20,7,0,10,0.75,400,3,80,0
249,357,21,7,0,10,0.75,400,3,80,0
250,357,22,7,0,10,0.75,400,3,80,0
251,357,23,7,0,10,0.75,400,3,80,0
252,357,24,7,0,10,0.75,400,3,80,0
253,358,1,7,0,10,0.75,400,3,80,0
254,358,2,7,0,10,0.75,400,3,80,0
255,358,3,7,0,10,0.75,400,3,80,0
256,358,4,7,0,10,0.75,400,3,80,0
257,358,5,7,0,10,0.75,400,3,80,0
258,358,6,7,0,10,0.75,400,3,80,3.206349206
259,358,7,13,0,10,0.75,400,3,80,81.76190476
260,358,8,13,0,10,0.75,400,3,80,138.2698413
261,358,9,13,11.22222222,10,0.75,400,3,80,338.6666667
262,358,10,13,33.66666667,10,0.75,400,3,80,474.3333333
263,358,11,13,67.33333333,10,0.75,400,3,80,535.650794
264,358,12,13,134.6666667,10,0.75,400,3,80,649.476191
265,358,13,13,78.55555556,10,0.75,400,3,80,795.968254
266,358,14,13,89.77777778,10,0.75,400,3,80,635.650793
267,358,15,13,56.11111111,10,0.75,400,3,80,529.4444444
268,358,16,13,11.22222222,10,0.75,400,3,80,379.3492063
269,358,17,13,0,10,0.75,400,3,80,148.4920635
270,358,18,13,0,10,0.75,400,3,80,52.9047619
271,358,19,13,0,10,0.75,400,3,80,0
272,358,20,7,0,10,0.75,400,3,80,0
273,358,21,7,0,10,0.75,400,3,80,0
274,358,22,7,0,10,0.75,400,3,80,0
275,358,23,7,0,10,0.75,400,3,80,0
276,358,24,7,0,10,0.75,400,3,80,0
277,359,1,7,0,10,0.75,400,3,80,0
278,359,2,7,0,10,0.75,400,3,80,0
279,359,3,7,0,10,0.75,400,3,80,0
280,359,4,7,0,10,0.75,400,3,80,0
281,359,5,7,0,10,0.75,400,3,80,0
282,359,6,7,0,10,0.75,400,3,80,3.206349206
283,359,7,13,0,10,0.75,400,3,80,81.76190476
284,359,8,13,0,10,0.75,400,3,80,138.2698413
285,359,9,13,56.11111111,10,0.75,400,3,80,338.6666667
286,359,10,13,213.2222222,10,0.75,400,3,80,474.3333333
287,359,11,13,303,10,0.75,400,3,80,535.650794
288,359,12,13,291.7777778,10,0.75,400,3,80,649.476191
289,359,13,13,460.1111111,10,0.75,400,3,80,795.968254
290,359,14,13,404,10,0.75,400,3,80,635.650793
291,359,15,13,190.7777778,10,0.75,400,3,80,529.4444444
292,359,16,13,44.88888889,10,0.75,400,3,80,379.3492063
293,359,17,13,0,10,0.75,400,3,80,148.4920635
294,359,18,13,0,10,0.75,400,3,80,52.9047619
295,359,19,13,0,10,0.75,400,3,80,0
296,359,20,7,0,10,0.75,400,3,80,0
297,359,21,7,0,10,0.75,400,3,80,0
298,359,22,7,0,10,0.75,400,3,80,0
299,359,23,7,0,10,0.75,400,3,80,0
300,359,24,7,0,10,0.75,400,3,80,0
301,360,1,7,0,10,0.75,400,3,80,0
302,360,2,7,0,10,0.75,400,3,80,0
303,360,3,7,0,10,0.75,400,3,80,0
304,360,4,7,0,10,0.75,400,3,80,0
305,360,5,7,0,10,0.75,400,3,80,0
306,360,6,7,0,10,0.75,400,3,80,3.206349206
307,360,7,13,0,10,0.75,400,3,80,81.76190476
308,360,8,13,0,10,0.75,400,3,80,138.2698413
309,360,9,13,33.66666667,10,0.75,400,3,80,338.6666667
310,360,10,13,89.77777778,10,0.75,400,3,80,474.3333333
311,360,11,13,134.6666667,10,0.75,400,3,80,535.650794
312,360,12,13,123.4444444,10,0.75,400,3,80,649.476191
313,360,13,13,145.8888889,10,0.75,400,3,80,795.968254
314,360,14,13,134.6666667,10,0.75,400,3,80,635.650793
315,360,15,13,78.55555556,10,0.75,400,3,80,529.4444444
316,360,16,13,11.22222222,10,0.75,400,3,80,379.3492063
317,360,17,13,0,10,0.75,400,3,80,148.4920635
318,360,18,13,0,10,0.75,400,3,80,52.9047619
319,360,19,13,0,10,0.75,400,3,80,0
320,360,20,7,0,10,0.75,400,3,80,0
321,360,21,7,0,10,0.75,400,3,80,0
322,360,22,7,0,10,0.75,400,3,80,0
323,360,23,7,0,10,0.75,400,3,80,0
324,360,24,7,0,10,0.75,400,3,80,0
325,361,1,7,0,10,0.75,400,3,80,0
326,361,2,7,0,10,0.75,400,3,80,0
327,361,3,7,0,10,0.75,400,3,80,0
328,361,4,7,0,10,0.75,400,3,80,0
329,361,5,7,0,10,0.75,400,3,80,0
330,361,6,7,0,10,0.75,400,3,80,3.206349206
331,361,7,13,0,10,0.75,400,3,80,81.76190476
332,361,8,13,0,10,0.75,400,3,80,138.2698413
333,361,9,13,22.44444444,10,0.75,400,3,80,338.6666667
334,361,10,13,89.77777778,10,0.75,400,3,80,474.3333333
335,361,11,13,190.7777778,10,0.75,400,3,80,535.650794
336,361,12,13,224.4444444,10,0.75,400,3,80,649.476191
337,361,13,13,168.3333333,10,0.75,400,3,80,795.968254
338,361,14,13,280.5555556,10,0.75,400,3,80,635.650793
339,361,15,13,179.5555556,10,0.75,400,3,80,529.4444444
340,361,16,13,101,10,0.75,400,3,80,379.3492063
341,361,17,13,0,10,0.75,400,3,80,148.4920635
342,361,18,13,0,10,0.75,400,3,80,52.9047619
343,361,19,13,0,10,0.75,400,3,80,0
344,361,20,7,0,10,0.75,400,3,80,0
345,361,21,7,0,10,0.75,400,3,80,0
346,361,22,7,0,10,0.75,400,3,80,0
347,361,23,7,0,10,0.75,400,3,80,0
348,361,24,7,0,10,0.75,400,3,80,0
349,1,1,7,0,10,0.75,400,3,80,0
350,1,2,7,0,10,0.75,400,3,80,0
351,1,3,7,0,10,0.75,400,3,80,0
352,1,4,7,0,10,0.75,400,3,80,0
353,1,5,7,0,10,0.75,400,3,80,0
354,1,6,7,0,10,0.75,400,3,80,3.206349206
355,1,7,13,0,10,0.75,400,3,80,81.76190476
