N_content_shoot,plant,N_content,NS_roots,sum_respi_shoot,C_respired_roots,sum_NSC_g,mstruct_shoot,mstruct_stem,C_respired_shoot,C_N_ratio_shoot,NS_laminae,N_content_mstruct_shoot,sum_dry_mass,Cont_WSC_DM_roots,Total_Transpiration,dry_mass_phloem,Cont_WSC_DM,NNI,C_N_ratio,shoot_roots_ratio,N_content_mstruct,Cont_WSC_DM_stem,sum_N_g_shoot,shoot_roots_mstruct_ratio,Total_Photosynthesis,NS_shoot,C_exudated,mstruct,sum_respi_roots,NS_stem,sum_N_g,NS,N_content_total_DM_shoot,sum_dry_mass_laminae,Tillers_Photosynthesis,sum_C_g,Tillers_Photosynthesis_An,sum_dry_mass_stem,sum_dry_mass_shoot,axis,Cont_WSC_DM_laminae,mstruct_laminae,t,Cont_WSC_DM_shoot,sum_dry_mass_roots,N_content_roots,senesced_mstruct,N_content_mstruct_roots
4.07960225,1,2.57194631,16.22998180,0.78192489,1.14986297,0.00784430,0.02129816,0.00713160,1.31151396,10.31597055,41.05733599,6.77299900,0.07856946,11.706817630435207,0.00044803,0.00523642,11.73874135720108,0.92718233,16.40081813,0.81831533,3.51466558,14.856137967035444,0.00144252,0.58839489,12.21110458,39.76667861,0.49834010,0.05749521,0.23987420,37.02756959,0.00202076,26.82244590,4.07960225,0.02403448,12.21110458,0.03314219,12.13429819,0.01132495,0.03535943,MS,10.327229960461583,0.01416656,20.00000000,11.777752879385849,0.04321003,1.33820833,0.00000000,1.59747886
4.04578997,1,2.55591301,16.37022683,1.01297015,1.13225380,0.00804945,0.02134221,0.00714749,1.53881912,10.40140064,41.79645161,6.78583993,0.07916562,11.902487974954237,0.00085512,0.00548052,12.225934696711612,0.91949772,16.50615566,0.82538810,3.51213716,15.247526427222219,0.00144825,0.58843298,24.70390738,40.37893600,0.61240384,0.05761177,0.23792727,37.34866532,0.00202340,27.22627596,4.04578997,0.02438805,24.70390738,0.03339863,24.68488027,0.01140837,0.03579642,MS,11.387663294079585,0.01419471,21.00000000,12.617806981274601,0.04336920,1.32618629,0.00000000,1.58578248
4.01031094,1,2.53495429,16.72404932,1.18190097,1.11873521,0.00832468,0.02138650,0.00716339,1.71068855,10.49240872,42.54975608,6.80362586,0.07992223,12.331037870537285,0.00113187,0.00587807,12.876644460826547,0.91143431,16.64607016,0.83142697,3.50957498,15.85780980516538,0.00145506,0.58849413,30.88778939,41.05626875,0.82276868,0.05772756,0.23691879,37.84823639,0.00202599,27.77033388,4.01031094,0.02475726,30.88778939,0.03372480,30.87711014,0.01152565,0.03628291,MS,12.4505083198319,0.01422311,22.00000000,13.53287358338495,0.04363932,1.30830298,0.00000000,1.57104538
3.97740076,1,2.51268423,17.21062941,1.26535771,1.11337108,0.00862285,0.02143256,0.00717930,1.81523670,10.57829801,43.19211364,6.82015317,0.08073257,12.892530465407237,0.00125869,0.00634189,13.569144892177022,0.90395472,16.79742589,0.83559890,3.50690102,16.57887759546538,0.00146173,0.58861117,33.22720462,41.68165052,1.10189333,0.05784465,0.23737259,38.43158731,0.00202855,28.35029522,3.97740076,0.02509029,33.22720462,0.03407449,33.21840636,0.01166068,0.03675097,MS,13.356434824591497,0.01425326,23.00000000,14.378880792968642,0.04398160,1.28876871,0.00000000,1.55668379
3.94395510,1,2.48811514,17.80488287,1.40319966,1.11915264,0.00896022,0.02147963,0.00719521,1.96515648,10.66697046,43.84135667,6.83908438,0.08163345,13.56853276844299,0.00149681,0.00685567,14.337115886946567,0.89635343,16.96783415,0.83915800,3.50418992,17.377175821374355,0.00146901,0.58875108,37.02279575,42.33211813,1.42458702,0.05796302,0.23978126,39.08194367,0.00203113,28.99599622,3.94395510,0.02543584,37.02279575,0.03446395,37.01320364,0.01181129,0.03724713,MS,14.266646179195149,0.01428442,24.00000000,15.253013872138402,0.04438632,1.26643540,0.00000000,1.54076719
3.91000420,1,2.46119116,18.50106719,1.57689883,1.13720379,0.00934104,0.02152719,0.00721113,2.14457752,10.75838420,44.51977477,6.86201050,0.08263427,14.355150207592212,0.00181300,0.00741746,15.183285206061539,0.88863732,17.15889655,0.84228136,3.50152061,18.234675439818563,0.00147720,0.58888584,41.26082240,43.01955380,1.78255968,0.05808297,0.24426840,39.78714343,0.00203379,29.71079045,3.91000420,0.02580389,41.26082240,0.03489755,41.24790066,0.01197606,0.03777995,MS,15.20660706544938,0.01431606,25.00000000,16.16648991647925,0.04485431,1.24088295,0.00000000,1.52257570
3.88415973,1,2.43910507,19.18555520,1.39992362,1.16682224,0.00965831,0.02157680,0.00722705,1.99226208,10.82944890,44.90680695,6.87111055,0.08349572,15.09558864119144,0.00146761,0.00789511,15.871456817468784,0.88276358,17.31819569,0.84210812,3.49880903,18.982433347620148,0.00148257,0.58904572,36.32460111,43.47115066,2.12289794,0.05820690,0.25031466,40.38669380,0.00203655,30.28756216,3.88415973,0.02604632,36.32460111,0.03526934,36.31409068,0.01212322,0.03816954,MS,15.773633924343741,0.01434975,26.00000000,16.792797147973445,0.04532618,1.22221279,0.00000000,1.51236923
3.86387122,1,2.42069166,19.80653417,1.28696039,1.20533133,0.00992683,0.02162777,0.00724300,1.89539386,10.88609481,45.15904232,6.87410863,0.08425033,15.757200265671448,0.00124566,0.00827185,16.439438899811833,0.87815255,17.45286916,0.84061391,3.49610305,19.580782769115295,0.00148672,0.58920150,32.60074965,43.79094908,2.38033534,0.05833468,0.25793978,40.86093516,0.00203944,30.76028860,3.86387122,0.02622998,32.60074965,0.03559409,32.59019493,0.01224740,0.03847738,MS,16.16321972293612,0.01438477,27.00000000,17.251034601042193,0.04577295,1.20753485,0.00000000,1.50577711
3.85188804,1,2.40765877,20.31472754,1.13139515,1.24741743,0.01011815,0.02168081,0.00725896,1.76463959,10.92010957,45.22342277,6.86988341,0.08483266,16.287601800258194,0.00093981,0.00851839,16.82859570859873,0.87542910,17.54912664,0.83760882,3.49337443,19.98644913731739,0.00148945,0.58936925,26.39746293,43.93080916,2.52517612,0.05846728,0.26625769,41.17277776,0.00204248,31.07928096,3.85188804,0.02632851,26.39746293,0.03584376,26.37945949,0.01233945,0.03866796,MS,16.297181170536856,0.01442186,28.00000000,17.474474659855325,0.04616470,1.19795960,0.00000000,1.50336387
3.85850392,1,2.40540803,20.59343673,0.89520444,1.28771421,0.01014855,0.02173399,0.00727493,1.53009442,10.90209322,44.89013258,6.85523049,0.08504407,16.556205996367638,0.00047134,0.00854122,16.85629019972441,0.87693271,17.56586010,0.83165182,3.49072316,20.06809243141476,0.00148992,0.58949758,12.87067747,43.71445395,2.50651632,0.05860267,0.27382499,41.22224861,0.00204566,31.09141229,3.85850392,0.02623680,12.87067747,0.03593372,12.79973275,0.01237701,0.03861381,MS,15.872194783473152,0.01445907,29.00000000,17.217119331000124,0.04643026,1.19693819,0.00000000,1.50735423
