xylem_water_potential,axis,Ksoil,mstruct,SRWC,Tsoil,organ,proteins,Tr,soil_water_potential,total_water_potential,plant,age,amino_acids,t,sucrose,green_area
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.53455272,32,313.35521477,NA
NA,MS,NA,0.03606472,NA,NA,roots,NA,NA,NA,NA,1,NA,2.17492217,32,156.66469238,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00041032,1,NA,NA,32,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.39420111,33,307.73381567,NA
NA,MS,NA,0.03611913,NA,NA,roots,NA,NA,NA,NA,1,NA,2.28394561,33,158.23913610,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028346,1,NA,NA,33,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.25800391,34,302.62112814,NA
NA,MS,NA,0.03617370,NA,NA,roots,NA,NA,NA,NA,1,NA,2.37540121,34,159.15146141,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028425,1,NA,NA,34,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.12743039,35,297.90857020,NA
NA,MS,NA,0.03622841,NA,NA,roots,NA,NA,NA,NA,1,NA,2.45271185,35,159.53377968,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028382,1,NA,NA,35,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.00316311,36,293.54098857,NA
NA,MS,NA,0.03628321,NA,NA,roots,NA,NA,NA,NA,1,NA,2.51876814,36,159.49378542,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028400,1,NA,NA,36,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.88460217,37,289.38397359,NA
NA,MS,NA,0.03633807,NA,NA,roots,NA,NA,NA,NA,1,NA,2.57553341,37,159.10951622,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028361,1,NA,NA,37,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.77287527,38,285.53597152,NA
NA,MS,NA,0.03639297,NA,NA,roots,NA,NA,NA,NA,1,NA,2.62484724,38,158.45225726,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028380,1,NA,NA,38,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.66678074,39,281.87071190,NA
NA,MS,NA,0.03644789,NA,NA,roots,NA,NA,NA,NA,1,NA,2.66807878,39,157.57833481,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028381,1,NA,NA,39,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.56596973,40,278.35362037,NA
NA,MS,NA,0.03650282,NA,NA,roots,NA,NA,NA,NA,1,NA,2.70627968,40,156.52668896,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028427,1,NA,NA,40,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.46978706,41,274.73620857,NA
NA,MS,NA,0.03655774,NA,NA,roots,NA,NA,NA,NA,1,NA,2.74044103,41,155.33362123,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028446,1,NA,NA,41,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.41302469,42,271.21706325,NA
NA,MS,NA,0.03661264,NA,NA,roots,NA,NA,NA,NA,1,NA,2.76927322,42,154.00718206,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00028466,1,NA,NA,42,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.55232257,43,269.83528416,NA
NA,MS,NA,0.03666750,NA,NA,roots,NA,NA,NA,NA,1,NA,2.72070623,43,152.91161176,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00029383,1,NA,NA,43,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.63033733,44,272.72167885,NA
NA,MS,NA,0.03672235,NA,NA,roots,NA,NA,NA,NA,1,NA,2.63747653,44,152.02759445,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00073489,1,NA,NA,44,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,5.80954401,45,283.56165907,NA
NA,MS,NA,0.03677719,NA,NA,roots,NA,NA,NA,NA,1,NA,2.42679846,45,151.83974389,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00096923,1,NA,NA,45,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.08517698,46,299.85580698,NA
NA,MS,NA,0.03683207,NA,NA,roots,NA,NA,NA,NA,1,NA,2.17687270,46,152.93004746,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00184077,1,NA,NA,46,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.40563626,47,317.95466018,NA
NA,MS,NA,0.03688711,NA,NA,roots,NA,NA,NA,NA,1,NA,1.96250814,47,155.59381492,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00245061,1,NA,NA,47,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,6.78893168,48,338.03053412,NA
NA,MS,NA,0.03694242,NA,NA,roots,NA,NA,NA,NA,1,NA,1.75473623,48,159.90248835,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00273183,1,NA,NA,48,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.23726283,49,359.96834870,NA
NA,MS,NA,0.03699811,NA,NA,roots,NA,NA,NA,NA,1,NA,1.55449368,49,165.99675774,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00328133,1,NA,NA,49,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.56536278,50,378.16922517,NA
NA,MS,NA,0.03705427,NA,NA,roots,NA,NA,NA,NA,1,NA,1.50945800,50,173.59167308,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00401239,1,NA,NA,50,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.76870284,51,392.43327338,NA
NA,MS,NA,0.03711096,NA,NA,roots,NA,NA,NA,NA,1,NA,1.53713760,51,181.98841163,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00320555,1,NA,NA,51,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.84047546,52,401.79985145,NA
