R_Nnit_upt,R_grain_growth_starch,Conc_Nitrates,AA_consumption_mstruct,Proteins_N_Mass,S_grain_starch,HATS_LATS,N_exudation,Export_Amino_Acids,C_exudation,Conc_Sucrose,age_from_flowering,sucrose,cytokinins,Nstruct,RGR_Structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Export_cytokinins,Unloading_Sucrose,S_Amino_Acids,structure,sum_respi,sucrose_consumption_mstruct,t,nitrates,WSC_g,axis,regul_transpiration,S_Proteins,mstruct,S_cytokinins,Export_Nitrates,Uptake_Nitrates,plant,amino_acids,S_grain_structure,Conc_Amino_Acids,R_grain_growth_struct,Respi_growth,Conc_cytokinins,Dry_Mass,starch,senesced_mstruct,organ,proteins,synthetized_mstruct,N_tot,R_residual,R_Nnit_red
0.13449405,NA,641.5625971502961,0.01798879,NA,NA,1.67824013,0.05361778,0.02301758,5.43475527,295.76283059260203,NA,123.93688243,8.77824065,0.00017480,NA,13.70826975,0.88106741,0.00613256,27.17377635,1.73792109,NA,0.33328738,1.80391547,9.00000000,22.40344288,0.003541053783714286,MS,0.00011620,NA,0.03492012,1.54199069,0.04686002,0.33877594,1,1.22272680,NA,28.011972467448565,NA,0.62121274,251.38059806209145,NA,NA,0.00000000,roots,NA,NA,0.00050557,0.07902595,0.12016306
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312.95829521057476,NA,209.54046294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.00000000,NA,0.005986870369714285,MS,NA,NA,NA,NA,NA,NA,1,6.75229923,NA,96.81473950558495,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009453,NA,NA
0.13218485,NA,647.1084274369965,0.01792002,NA,NA,1.66974557,0.06144187,0.02401659,5.87250922,290.3718403187848,NA,121.85268441,8.82590308,0.00017505,NA,13.77836214,0.94618812,0.00617019,29.36254608,1.73509885,NA,0.33088442,1.79701927,10.00000000,22.62957584,0.0034815052688571425,MS,0.00011628,NA,0.03497030,1.53969584,0.04736629,0.33295932,1,1.27489917,NA,29.165301298530466,NA,0.61883791,252.38282428231955,NA,NA,0.00000000,roots,NA,NA,0.00050971,0.07896095,0.12014030
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308.5113156352656,NA,206.88482528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.00000000,NA,0.0059109950080000005,MS,NA,NA,NA,NA,NA,NA,1,6.63254231,NA,94.94972757153575,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009286,NA,NA
0.12992710,NA,652.4629080635564,0.01785036,NA,NA,1.66156500,0.06656715,0.02502564,6.01123847,285.08036738522173,NA,119.80313146,8.87351233,0.00017530,NA,13.84798724,0.96357462,0.00621184,30.05619234,1.73222976,NA,0.32852911,1.79003384,11.00000000,22.84943373,0.0034229466131428573,MS,0.00011644,NA,0.03502028,1.53718095,0.04789101,0.32727230,1,1.32667391,NA,30.306414683149306,NA,0.61643234,253.38210688206948,NA,NA,0.00000000,roots,NA,NA,0.00051377,0.07888556,0.12011307
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304.2677392249813,NA,204.34049343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.00000000,NA,0.005838299812285714,MS,NA,NA,NA,NA,NA,NA,1,6.51111093,NA,93.07387539734586,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009116,NA,NA
0.12772246,NA,657.6311457693542,0.01777782,NA,NA,1.65369162,0.07221376,0.02602967,6.17232613,279.89644086722404,NA,117.79181970,8.92106018,0.00017555,NA,13.91720853,0.98337582,0.00625321,30.86163066,1.72931937,NA,0.32621336,1.78276006,12.00000000,23.06316374,0.003365480562857143,MS,0.00011659,NA,0.03507006,1.53444797,0.04840150,0.32171905,1,1.37811738,NA,31.43689814046511,NA,0.61392748,254.3782411549909,NA,NA,0.00000000,roots,NA,NA,0.00051773,0.07880113,0.12008171
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.145795506317,NA,201.85861261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.00000000,NA,0.005767388931714286,MS,NA,NA,NA,NA,NA,NA,1,6.38933604,NA,91.20359199637431,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008945,NA,NA
0.12557011,NA,662.6190653543518,0.01770256,NA,NA,1.64611758,0.07814947,0.02702126,6.33308707,274.82022057755756,NA,115.81898058,8.96853992,0.00017580,NA,13.98598490,1.00229118,0.00629276,31.66543535,1.72636915,NA,0.32393709,1.77521261,13.00000000,23.27092978,0.003309113730857143,MS,0.00011671,NA,0.03511962,1.53149428,0.04888622,0.31629750,1,1.42919119,NA,32.555960229638025,NA,0.61132837,255.37121187529934,NA,NA,0.00000000,roots,NA,NA,0.00052160,0.07870775,0.12004628
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.1851605649578,NA,199.50007615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.00000000,NA,0.005700002175714287,MS,NA,NA,NA,NA,NA,NA,1,6.26864607,NA,89.34396314299993,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008776,NA,NA
0.12347039,NA,667.431635615146,0.01762458,NA,NA,1.63883560,0.08450974,0.02800405,6.50347218,269.8551224275263,NA,113.88632046,9.01594373,0.00017604,NA,14.05432058,1.02175313,0.00633145,32.51736089,1.72338290,NA,0.32170134,1.76739317,14.00000000,23.47288317,0.003253894870285714,MS,0.00011681,NA,0.03516897,1.52832022,0.04935279,0.31100855,1,1.47990229,NA,33.66381875841118,NA,0.60863559,256.3607558026294,NA,NA,0.00000000,roots,NA,NA,0.00052538,0.07860613,0.12000702
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292.0192459375013,NA,196.97737727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.00000000,NA,0.005627925064857143,MS,NA,NA,NA,NA,NA,NA,1,6.14801173,NA,87.4985880774862,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008607,NA,NA
0.12141315,NA,672.0736851430614,0.01754400,NA,NA,1.63183965,0.09006865,0.02897631,6.59305904,264.97089268138427,NA,111.98122495,9.06326167,0.00017629,NA,14.12175255,1.02890507,0.00637088,32.96529522,1.72034303,NA,0.31949202,1.75931202,15.00000000,23.66915153,0.00319946357,MS,0.00011692,NA,0.03521809,1.52489720,0.04981399,0.30582658,1,1.52979026,NA,34.7501016665015,NA,0.60585270,257.3467689474358,NA,NA,0.00000000,roots,NA,NA,0.00052908,0.07849101,0.11996266
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.96589068245726,NA,194.51526895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.00000000,NA,0.005557579112857143,MS,NA,NA,NA,NA,NA,NA,1,6.02980030,NA,85.69618983969094,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008442,NA,NA
0.11939832,NA,676.5494462525569,0.01746016,NA,NA,1.62512382,0.09589684,0.02993200,6.68749466,260.1696496978193,NA,110.10477399,9.11048456,0.00017653,NA,14.18829465,1.03653193,0.00640965,33.43747328,1.71725118,NA,0.31730697,1.75090482,16.00000000,23.85985579,0.0031458506854285715,MS,0.00011702,NA,0.03526698,1.52122019,0.05025903,0.30075142,1,1.57887220,NA,35.81530825718561,NA,0.60295752,258.3290250540307,NA,NA,0.00000000,roots,NA,NA,0.00053267,0.07836288,0.11991329
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.90309036063394,NA,192.03867094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.00000000,NA,0.005486819169714286,MS,NA,NA,NA,NA,NA,NA,1,5.91370633,NA,83.92907087827783,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008279,NA,NA
0.11742273,NA,680.8634615891037,0.01737309,NA,NA,1.61868179,0.10155049,0.03087203,6.75658303,255.44391314837085,NA,108.25395267,9.15760207,0.00017678,NA,14.25383714,1.04032296,0.00644840,33.78291514,1.71410259,NA,0.31514215,1.74217323,17.00000000,24.04512209,0.0030929700762857143,MS,0.00011713,NA,0.03531563,1.51727478,0.05069335,0.29577514,1,1.62704160,NA,36.857144556107315,NA,0.59995063,259.3073398379131,NA,NA,0.00000000,roots,NA,NA,0.00053619,0.07822057,0.11985853
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279.78375233137564,NA,189.51665028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.00000000,NA,0.005414761436571428,MS,NA,NA,NA,NA,NA,NA,1,5.83189819,NA,82.65255544280546,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008165,NA,NA
0.11548891,NA,684.9741118232598,0.01728257,NA,NA,1.61260070,0.10677819,0.03279107,6.79141943,250.7831742545106,NA,106.42441428,9.20439674,0.00017702,NA,14.31733756,1.04494425,0.00669409,33.95709717,1.71088924,NA,0.31299791,1.73309641,18.00000000,24.22343819,0.0030406975508571426,MS,0.00012097,NA,0.03536402,1.51303407,0.05274551,0.29090406,1,1.67325945,NA,37.85224530469104,NA,0.59682485,260.2757474970323,NA,NA,0.00000000,roots,NA,NA,0.00053957,0.07805743,0.11979776
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.6280793104213,NA,188.99195504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.00000000,NA,0.005399770143999999,MS,NA,NA,NA,NA,NA,NA,1,5.90016093,NA,83.50580250425655,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008260,NA,NA
0.11406844,NA,686.6859594800089,0.01718830,NA,NA,1.61133042,0.13971558,0.08276754,8.73107213,246.67212093871737,NA,104.82228177,9.24089403,0.00017726,NA,14.33864409,1.36288158,0.01692182,43.65536066,1.70794226,NA,0.31141852,1.72364287,19.00000000,24.31702620,0.0029949223362857147,MS,0.00030459,NA,0.03541215,1.50871789,0.13332057,0.28732606,1,1.67737768,NA,37.89383429133786,NA,0.59356934,260.95263998373434,NA,NA,0.00000000,roots,NA,NA,0.00054118,0.07771138,0.11975416
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283.1774506416012,NA,192.34316350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.00000000,NA,0.005495518957142857,MS,NA,NA,NA,NA,NA,NA,1,5.90540337,NA,83.46467632439888,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008268,NA,NA
0.11301592,NA,687.0922649833446,0.01710326,NA,NA,1.61268563,0.17881334,0.10838304,11.12323488,243.15628002205676,NA,103.46797699,9.27181159,0.00017750,NA,14.34168568,1.70755195,0.02242101,55.61617438,1.70533938,NA,0.31005748,1.71511492,20.00000000,24.36431920,0.002956227914,MS,0.00040223,NA,0.03546004,1.50464236,0.17639990,0.28467485,1,1.66331601,NA,37.5254175686209,NA,0.59063258,261.4721131166237,NA,NA,0.00000000,roots,NA,NA,0.00054189,0.07732460,0.11973336
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.1055483747009,NA,203.43420999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.00000000,NA,0.005812405999714287,MS,NA,NA,NA,NA,NA,NA,1,5.97847437,NA,84.38438455223489,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00008370,NA,NA
