t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
849,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
850,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
851,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
852,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
853,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
854,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
855,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
856,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
857,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
858,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
859,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
860,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
861,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
862,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
863,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
864,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
865,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
866,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
867,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
868,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
869,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
870,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
871,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
872,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
873,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
874,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
875,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
876,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
877,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
878,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
879,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
880,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
881,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
882,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
883,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
884,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
885,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
886,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
887,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
888,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
889,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
890,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
891,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
892,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
893,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
894,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
895,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
896,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
897,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
898,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
899,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
900,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
901,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
902,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
903,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
