Tillers_Photosynthesis_An,sum_N_g,sum_dry_mass,sum_dry_mass_stem,Cont_WSC_DM_laminae,mstruct_laminae,Cont_WSC_DM,N_content_mstruct_shoot,N_content_mstruct,sum_respi_roots,NS,N_content_roots,Cont_WSC_DM_roots,mstruct_stem,N_content_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM_stem,Total_Photosynthesis,N_content_mstruct_roots,N_content_total_DM_shoot,C_N_ratio,t,Tillers_Photosynthesis,mstruct_shoot,axis,sum_respi_shoot,dry_mass_phloem,mstruct,C_respired_roots,sum_C_g,C_respired_shoot,Total_Transpiration,plant,NS_shoot,N_content,sum_dry_mass_roots,shoot_roots_ratio,NS_roots,sum_N_g_shoot,sum_dry_mass_shoot,sum_NSC_g,senesced_mstruct,NNI,C_N_ratio_shoot,sum_dry_mass_laminae,C_exudated,NS_stem,NS_laminae,shoot_roots_mstruct_ratio
13.29891418,0.00205645,0.08000223,0.01190656,12.064469946178178,0.01397678,14.134901573909234,6.91856739,3.63312708,0.31058176,29.24868128,1.35240203,14.57694146808751,0.00716581,4.05153396,13.597432100290344,16.712832098196696,13.38325226,1.67422535,4.05153396,16.38057485,20.00000000,13.38325226,0.02114260,MS,0.91894258,0.00610793,0.05660266,0.90121434,0.03368576,1.27951252,0.00040223,1,41.43969796,2.57048532,0.04389826,0.82244651,19.22222213,0.00146276,0.03610397,0.00878059,0.00000000,0.92080317,10.38062850,0.02419741,0.38499147,39.81627187,42.23852019,0.59623720
27.95080497,0.00206029,0.08070931,0.01201498,13.27190998066636,0.01399518,14.755394288999046,6.93655730,3.63504797,0.30971574,29.77452980,1.34152601,14.907084111249283,0.00717560,4.01260031,14.572561647418764,17.233711531225953,27.95597171,1.66658856,4.01260031,16.49554823,21.00000000,27.95597171,0.02117077,MS,1.16069115,0.00643240,0.05667849,0.89782579,0.03398562,1.49668612,0.00076480,1,42.15285569,2.55272953,0.04411153,0.82966488,19.50466750,0.00146852,0.03659778,0.00904708,0.00000000,0.91195462,10.48039737,0.02458280,0.53711555,40.27792153,43.06924009,0.59623015
35.58634156,0.00206409,0.08161469,0.01216387,14.496234046207876,0.01401477,15.564076755186958,6.95954821,3.63682233,0.30997809,30.45933809,1.32407971,15.497900590153609,0.00718532,3.97085673,15.64325736758283,17.99999967770138,35.57792927,1.65562389,3.97085673,16.65192494,22.00000000,35.57792927,0.02120010,MS,1.34451217,0.00693442,0.05675541,0.89682179,0.03437112,1.69480847,0.00102299,1,42.94375714,2.52907032,0.04445820,0.83576223,20.02533221,0.00147543,0.03715649,0.00939874,0.00000000,0.90246744,10.58940141,0.02499261,0.81903419,40.92899660,43.92433839,0.59625696
38.27716784,0.00206792,0.08258076,0.01233331,15.53048035501116,0.01403573,16.412548577260463,6.98149734,3.63853337,0.31193704,31.17796055,1.30470725,16.233371925471054,0.00719506,3.93264597,16.625954093963085,18.878221996011124,38.26510143,1.64505590,3.93264597,16.82033268,23.00000000,38.26510143,0.02123078,MS,1.43838530,0.00750767,0.05683380,0.89998999,0.03478302,1.80496380,0.00113998,1,43.67045095,2.50411287,0.04489045,0.83960647,20.68918483,0.00148223,0.03769031,0.00977615,0.00000000,0.89378317,10.69119736,0.02535700,1.19058692,41.66160919,44.64752539,0.59632036
43.10071549,0.00207180,0.08366355,0.01252004,16.59718980510688,0.01405713,17.351169612524806,7.00646331,3.64029657,0.31605839,31.97399751,1.28217193,17.0957168383815,0.00720481,3.89316319,17.65424823615617,19.827859354185087,43.08512127,1.63274482,3.89316319,17.01210275,24.00000000,43.08512127,0.02126195,MS,1.59341454,0.00813572,0.05691299,0.90852192,0.03524569,1.96535432,0.00136538,1,44.43468822,2.47634823,0.04539876,0.84285975,21.47138280,0.00148971,0.03826479,0.01020397,0.00000000,0.88480981,10.79840581,0.02574475,1.60962550,42.45374899,45.39804753,0.59639106
48.50466636,0.00207582,0.08487604,0.01272342,17.713313855388893,0.01407905,18.383008561036945,7.03606949,3.64222437,0.32253188,32.85112753,1.25597423,18.08594205950776,0.00721457,3.85262684,18.73430183770371,20.8339244981341,48.49189585,1.61791340,3.85262684,17.22932068,25.00000000,48.49189585,0.02129362,MS,1.79058092,0.00882124,0.05699333,0.92265295,0.03576504,2.16878756,0.00166801,1,45.24461641,2.44571260,0.04598740,0.84563674,22.37073799,0.00149823,0.03888864,0.01068797,0.00000000,0.87559701,10.91061900,0.02616522,2.07007813,43.29691378,46.19172992,0.59646534
41.82604118,0.00208003,0.08589818,0.01290101,18.36081176452111,0.01410311,19.210424463957548,7.05121588,3.64427691,0.33071379,33.55316970,1.23720420,19.007459630631022,0.00722432,3.82399651,19.450782143271876,21.683394355096514,41.81192242,1.61174873,3.82399651,17.40405202,26.00000000,41.81192242,0.02132743,MS,1.59983624,0.00939175,0.05707667,0.94138747,0.03620095,2.00370251,0.00133289,1,45.76826784,2.42150650,0.04657171,0.84442833,23.23839481,0.00150384,0.03932647,0.01108721,0.00000000,0.86909012,10.99159243,0.02642545,2.49291080,44.00196196,46.63058556,0.59658485
37.04068013,0.00208444,0.08678455,0.01304874,18.816464210152407,0.01412693,19.89593284221209,7.06062190,3.64662578,0.34037000,34.13486804,1.22291173,19.82762092169063,0.00723413,3.80228506,19.977078463443913,22.344560725400367,37.02986564,1.60955347,3.80228506,17.54787105,27.00000000,37.02986564,0.02136106,MS,1.47748020,0.00983530,0.05716078,0.96331419,0.03657747,1.87855221,0.00112083,1,46.14801483,2.40185488,0.04711831,0.84184358,24.02167752,0.00150822,0.03966625,0.01142672,0.00000000,0.86415569,11.05390451,0.02661751,2.76933676,44.56071649,46.92615838,0.59668267
29.32682149,0.00208904,0.08745917,0.01315911,18.987778863042966,0.01415021,20.379673917020785,7.06342797,3.64927290,0.34959218,34.54624786,1.21419265,20.494707835281815,0.00724390,3.79065251,20.242339015857553,22.788453506829192,29.32812866,1.61188620,3.79065251,17.64551290,28.00000000,29.32812866,0.02139410,MS,1.30875581,0.01012670,0.05724534,0.98486643,0.03686214,1.70334395,0.00083404,1,46.33409551,2.38858604,0.04759382,0.83761606,24.67255740,0.00151116,0.03986535,0.01167419,0.00000000,0.86151193,11.08768639,0.02670624,2.87731643,44.95145972,47.01536879,0.59674697
13.70502638,0.00209386,0.08770862,0.01320418,18.576859098760966,0.01417428,20.477646922910925,7.05599703,3.65219148,0.35821459,34.63396658,1.21447815,20.870673140347762,0.00725374,3.79937906,20.00443744842223,22.87931369835622,13.78020896,1.62073116,3.79937906,17.65367051,29.00000000,13.78020896,0.02142802,MS,1.05681601,0.01016295,0.05733163,1.00472747,0.03696434,1.46118428,0.00041819,1,46.15390221,2.38729271,0.04791369,0.83055441,25.06603320,0.00151196,0.03979493,0.01173842,0.00000000,0.86349524,11.06257116,0.02659075,2.76521532,45.06482693,46.69470471,0.59682032
