t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC
173,354,17,3.6,0,5.733,0.97,400,2.9,80
174,354,18,3.7,0,5.59,0.98,400,2.9,80
175,354,19,3.9,0,5.511,0.99,400,2.9,80
176,354,20,3.9,0,5.48,0.99,400,2.9,80
177,354,21,4.4,0,5.455,0.99,400,2.9,80
178,354,22,4.7,0,5.45,0.99,400,2.9,80
179,354,23,4.4,0,5.466,0.99,400,2.9,80
180,354,24,4.3,0,5.445,0.98,400,4.6,80
181,355,1,4.5,0,5.385,0.96,400,4.6,80
182,355,2,4.5,0,5.346,0.96,400,4.6,80
183,355,3,5.1,0,5.347,0.96,400,4.6,80
184,355,4,5.5,0,5.401,0.95,400,4.6,80
185,355,5,5.8,0,5.489,0.95,400,4.6,80
186,355,6,6.2,0,5.6,0.94,400,4.6,80
187,355,7,6.6,0,5.712,0.94,400,4.6,80
188,355,8,7.1,0,5.84,0.93,400,4.6,80
189,355,9,7.2,11.22222222,6.001,0.95,400,4.6,80
190,355,10,7.7,33.66666667,6.203,0.95,400,4.6,80
191,355,11,7.6,33.66666667,6.433,0.95,400,4.6,80
192,355,12,5.2,516.2222222,5.84,0.95,400,2.9,80
193,355,13,5.6,549.8888889,6.264,0.88,400,2.9,80
194,355,14,4.8,392.7777778,5.415,0.92,400,2.9,80
195,355,15,3.6,157.1111111,6.223,0.95,400,2.9,80
196,355,16,3.5,22.44444444,5.957,0.96,400,2.9,80
197,355,17,3.6,0,5.733,0.97,400,2.9,80
198,355,18,3.7,0,5.59,0.98,400,2.9,80
199,355,19,3.9,0,5.511,0.99,400,2.9,80
200,355,20,3.9,0,5.48,0.99,400,2.9,80
201,355,21,4.4,0,5.455,0.99,400,2.9,80
202,355,22,4.7,0,5.45,0.99,400,2.9,80
203,355,23,4.4,0,5.466,0.99,400,2.9,80
204,355,24,4.3,0,5.445,0.98,400,4.6,80
205,356,1,4.5,0,5.385,0.96,400,4.6,80
206,356,2,4.5,0,5.346,0.96,400,4.6,80
207,356,3,5.1,0,5.347,0.96,400,4.6,80
208,356,4,5.5,0,5.401,0.95,400,4.6,80
209,356,5,5.8,0,5.489,0.95,400,4.6,80
210,356,6,6.2,0,5.6,0.94,400,4.6,80
211,356,7,6.6,0,5.712,0.94,400,4.6,80
212,356,8,7.1,0,5.84,0.93,400,4.6,80
213,356,9,7.2,11.22222222,6.001,0.95,400,4.6,80
214,356,10,7.7,33.66666667,6.203,0.95,400,4.6,80
215,356,11,7.6,33.66666667,6.433,0.95,400,4.6,80
216,356,12,5.2,516.2222222,5.84,0.95,400,2.9,80
217,356,13,5.6,549.8888889,6.264,0.88,400,2.9,80
218,356,14,4.8,392.7777778,5.415,0.92,400,2.9,80
219,356,15,3.6,157.1111111,6.223,0.95,400,2.9,80
220,356,16,3.5,22.44444444,5.957,0.96,400,2.9,80
221,356,17,3.6,0,5.733,0.97,400,2.9,80
222,356,18,3.7,0,5.59,0.98,400,2.9,80
223,356,19,3.9,0,5.511,0.99,400,2.9,80
224,356,20,3.9,0,5.48,0.99,400,2.9,80
225,356,21,4.4,0,5.455,0.99,400,2.9,80
226,356,22,4.7,0,5.45,0.99,400,2.9,80
227,356,23,4.4,0,5.466,0.99,400,2.9,80
228,356,24,4.3,0,5.445,0.98,400,4.6,80
229,357,1,4.5,0,5.385,0.96,400,4.6,80
230,357,2,4.5,0,5.346,0.96,400,4.6,80
231,357,3,5.1,0,5.347,0.96,400,4.6,80
232,357,4,5.5,0,5.401,0.95,400,4.6,80
233,357,5,5.8,0,5.489,0.95,400,4.6,80
234,357,6,6.2,0,5.6,0.94,400,4.6,80
235,357,7,6.6,0,5.712,0.94,400,4.6,80
236,357,8,7.1,0,5.84,0.93,400,4.6,80
237,357,9,7.2,11.22222222,6.001,0.95,400,4.6,80
238,357,10,7.7,33.66666667,6.203,0.95,400,4.6,80
239,357,11,7.6,33.66666667,6.433,0.95,400,4.6,80
240,357,12,5.2,516.2222222,5.84,0.95,400,2.9,80
241,357,13,5.6,549.8888889,6.264,0.88,400,2.9,80
242,357,14,4.8,392.7777778,5.415,0.92,400,2.9,80
243,357,15,3.6,157.1111111,6.223,0.95,400,2.9,80
244,357,16,3.5,22.44444444,5.957,0.96,400,2.9,80
245,357,17,3.6,0,5.733,0.97,400,2.9,80
246,357,18,3.7,0,5.59,0.98,400,2.9,80
247,357,19,3.9,0,5.511,0.99,400,2.9,80
248,357,20,3.9,0,5.48,0.99,400,2.9,80
249,357,21,4.4,0,5.455,0.99,400,2.9,80
250,357,22,4.7,0,5.45,0.99,400,2.9,80
251,357,23,4.4,0,5.466,0.99,400,2.9,80
252,357,24,4.3,0,5.445,0.98,400,4.6,80
253,358,1,4.5,0,5.385,0.96,400,4.6,80
254,358,2,4.5,0,5.346,0.96,400,4.6,80
255,358,3,5.1,0,5.347,0.96,400,4.6,80
256,358,4,5.5,0,5.401,0.95,400,4.6,80
257,358,5,5.8,0,5.489,0.95,400,4.6,80
258,358,6,6.2,0,5.6,0.94,400,4.6,80
259,358,7,6.6,0,5.712,0.94,400,4.6,80
260,358,8,7.1,0,5.84,0.93,400,4.6,80
261,358,9,7.2,11.22222222,6.001,0.95,400,4.6,80
262,358,10,7.7,33.66666667,6.203,0.95,400,4.6,80
263,358,11,7.6,33.66666667,6.433,0.95,400,4.6,80
264,358,12,5.2,516.2222222,5.84,0.95,400,2.9,80
265,358,13,5.6,549.8888889,6.264,0.88,400,2.9,80
266,358,14,4.8,392.7777778,5.415,0.92,400,2.9,80
267,358,15,3.6,157.1111111,6.223,0.95,400,2.9,80
268,358,16,3.5,22.44444444,5.957,0.96,400,2.9,80
269,358,17,3.6,0,5.733,0.97,400,2.9,80
270,358,18,3.7,0,5.59,0.98,400,2.9,80
271,358,19,3.9,0,5.511,0.99,400,2.9,80
272,358,20,3.9,0,5.48,0.99,400,2.9,80
273,358,21,4.4,0,5.455,0.99,400,2.9,80
274,358,22,4.7,0,5.45,0.99,400,2.9,80
275,358,23,4.4,0,5.466,0.99,400,2.9,80
276,358,24,4.3,0,5.445,0.98,400,4.6,80
277,359,1,4.5,0,5.385,0.96,400,4.6,80
278,359,2,4.5,0,5.346,0.96,400,4.6,80
279,359,3,5.1,0,5.347,0.96,400,4.6,80
280,359,4,5.5,0,5.401,0.95,400,4.6,80
281,359,5,5.8,0,5.489,0.95,400,4.6,80
282,359,6,6.2,0,5.6,0.94,400,4.6,80
283,359,7,6.6,0,5.712,0.94,400,4.6,80
284,359,8,7.1,0,5.84,0.93,400,4.6,80
285,359,9,7.2,11.22222222,6.001,0.95,400,4.6,80
286,359,10,7.7,33.66666667,6.203,0.95,400,4.6,80
287,359,11,7.6,33.66666667,6.433,0.95,400,4.6,80
288,359,12,5.2,516.2222222,5.84,0.95,400,2.9,80
289,359,13,5.6,549.8888889,6.264,0.88,400,2.9,80
