t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15101921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.47517081,NA,NA,NA,NA
9,1,MS,roots,0.03095501,6.32117029,0.01674080,0.04010103,0.00534550,1.48394803,NA,0.05946901,0.00017677,NA,0.10162512,0.10695763,NA,NA,NA,0.06456199,1.06897975,NA,1.45336900,NA,1.27705167,NA,NA,13.63564491,NA,NA,1.19284258,31.60585144,0.26941469,NA,NA,1.00905077,8.68202393,0.00008667,NA,0.03531506,21.75378616,NA,0.00000000,0.00010241,0.00000000,NA,NA,NA,107.25555160,3.10416860,0.27314474,NA,NA
9,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392530,NA
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04045161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.82146219,NA,NA,NA,NA
10,1,MS,roots,0.03062822,7.17680318,0.01761289,0.04046256,0.00537598,1.48196595,NA,0.07335248,0.00017720,NA,0.10149385,0.10417732,NA,NA,NA,0.06410330,1.05769452,NA,1.44797546,NA,1.26924298,NA,NA,13.71762524,NA,NA,1.35230543,35.88401589,0.26241139,NA,NA,1.06040288,8.72155373,0.00008576,NA,0.03540082,21.92481922,NA,0.00000000,0.00010253,0.00000000,NA,NA,NA,103.74977122,3.07139786,0.26977448,NA,NA
10,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392558,NA
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91247213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.20701083,NA,NA,NA,NA
11,1,MS,roots,0.03028652,7.56998888,0.01853928,0.04085503,0.00541215,1.48025316,NA,0.08400944,0.00017763,NA,0.10134694,0.10146064,NA,NA,NA,0.06364996,1.04589444,NA,1.44242425,NA,1.26057767,NA,NA,13.80122001,NA,NA,1.42809320,37.84994442,0.25556836,NA,NA,1.11371113,8.76084165,0.00008480,NA,0.03548562,22.08857345,NA,0.00000000,0.00010276,0.00000000,NA,NA,NA,100.35515678,3.03713209,0.26645755,NA,NA
11,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392584,NA
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.78232794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.92496040,NA,NA,NA,NA
