t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
8,1,MS,roots,0.01805731,4.87917631,0.02204420,0.04633169,0.00609372,1.68705516,NA,0.04534917,0.00017455,NA,0.12018550,0.13689129,NA,NA,NA,0.07871776,0.62357921,NA,1.74075657,NA,1.54413387,NA,NA,13.63963249,NA,NA,0.79494200,24.39588154,0.34481434,NA,NA,1.17207832,8.73053629,0.00005056,NA,0.03486975,22.17088251,NA,0.00000000,0.00011610,0.00000000,NA,NA,NA,126.10543865,1.81078734,0.33579456,NA,NA
8,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00039697,NA
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.86075368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.59854847,NA,NA,NA,NA
9,1,MS,roots,0.01798879,5.43475527,0.02301758,0.04686002,0.00613256,1.67824013,NA,0.05361778,0.00017480,NA,0.12016306,0.13449405,NA,NA,NA,0.07863027,0.62121274,NA,1.73792109,NA,1.54199069,NA,NA,13.70826975,NA,NA,0.88106741,27.17377635,0.33877594,NA,NA,1.22272680,8.77824065,0.00005037,NA,0.03492012,22.40344288,NA,0.00000000,0.00011620,0.00000000,NA,NA,NA,123.93688243,1.80391547,0.33328738,NA,NA
9,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027578,NA
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75229923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.54046294,NA,NA,NA,NA
10,1,MS,roots,0.01792002,5.87250922,0.02401659,0.04736629,0.00617019,1.66974557,NA,0.06144187,0.00017505,NA,0.12014030,0.13218485,NA,NA,NA,0.07855926,0.61883791,NA,1.73509885,NA,1.53969584,NA,NA,13.77836214,NA,NA,0.94618812,29.36254608,0.33295932,NA,NA,1.27489917,8.82590308,0.00005018,NA,0.03497030,22.62957584,NA,0.00000000,0.00011628,0.00000000,NA,NA,NA,121.85268441,1.79701927,0.33088442,NA,NA
10,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027599,NA
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63254231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.88482528,NA,NA,NA,NA
11,1,MS,roots,0.01785036,6.01123847,0.02502564,0.04789101,0.00621184,1.66156500,NA,0.06656715,0.00017530,NA,0.12011307,0.12992710,NA,NA,NA,0.07848894,0.61643234,NA,1.73222976,NA,1.53718095,NA,NA,13.84798724,NA,NA,0.96357462,30.05619234,0.32727230,NA,NA,1.32667391,8.87351233,0.00004998,NA,0.03502028,22.84943373,NA,0.00000000,0.00011644,0.00000000,NA,NA,NA,119.80313146,1.79003384,0.32852911,NA,NA
